BlockSK,BlockName,PSCSK,PSCName (Secured),PACSK,PACName,CountryCode,Region,AwardedAcre,AwardedAcreUOM,CurrentAcre,CurrentAcreUOM,MinWaterDepth,MinWaterDepthUOM,MaxWaterDepth,MaxWaterDepthUOM,IsActive,CreatedTimestamp,UpdatedTimestamp,DataSource
12,PM335(PM5),1272,BLOCK PM335 PSC,173,BLOCK PM335 PSC,MALAYSIA,PM,NULL,NULL,339.76447608,KM2,-60.00000000,m,-70.00000000,m,1,2022-08-04,2022-08-08,R&M
64,SK8,230,BLOCK SK8 PSC,170,BLOCK SK8 PSC,MALAYSIA,SK,NULL,NULL,145.81384321,KM2,-70.00000000,m,-140.00000000,m,1,2022-08-04,2022-08-08,R&M
368,SE COLLINS CLUSTER,0,NULL,0,NULL,MALAYSIA,PM,NULL,NULL,31.22961891,KM2,-40.00000000,m,-50.00000000,m,NULL,2022-08-08,2022-08-08,R&M
360,RHU-ARA CLUSTER,0,NULL,0,NULL,MALAYSIA,PM,NULL,NULL,13.48660200,KM2,-70.00000000,m,-70.00000000,m,NULL,2022-08-08,2022-08-08,R&M
304,Block PM5 PSC (Vestigo),137,NULL,173,NULL,MYS,PM,NULL,km2,NULL,km2,NULL,m,NULL,m,1,2022-08-04,2022-08-04,UMD
105,SB332,236,BLOCK SB332 PSC,171,BLOCK SB332 PSC,MALAYSIA,SB,NULL,NULL,18248.08193590,KM2,10.00000000,m,1740.00000000,m,0,2022-08-04,2022-08-08,R&M
27,2011 BARAM DELTA EOR,169,2011 BARAM DELTA EOR PSC,157,2011 BARAM DELTA EOR PSC,MALAYSIA,SK,NULL,NULL,124.45313018,KM2,-10.00000000,m,-80.00000000,m,1,2022-08-04,2022-08-08,R&M
7,3K,265,DEEPWATER BLOCK SB 3K PSC,157,DEEPWATER BLOCK SB 3K PSC,MALAYSIA,SB,NULL,NULL,1786.59720994,KM2,-1430.00000000,m,-2820.00000000,m,1,2022-08-04,2022-08-08,R&M
336,5E,0,NULL,0,NULL,MALAYSIA,SK,NULL,NULL,2924.26974800,KM2,-10.00000000,m,-2370.00000000,m,NULL,2022-08-08,2022-08-08,R&M
341,BINDU EXTENSION,0,NULL,0,NULL,MALAYSIA,PM,NULL,NULL,121.77319383,KM2,-50.00000000,m,-50.00000000,m,NULL,2022-08-08,2022-08-08,R&M
15,WL4-00,131,BLOCK WL4-00 PSC,154,BLOCK WL4-00 PSC,MALAYSIA,SK,NULL,NULL,2544.57912662,KM2,-40.00000000,m,-110.00000000,m,1,2022-08-04,2022-08-08,R&M
354,PM340,0,NULL,0,NULL,MALAYSIA,PM,NULL,NULL,16399.30608400,KM2,-20.00000000,m,-70.00000000,m,NULL,2022-08-08,2022-08-08,R&M
80,2J,176,NULL,157,NULL,MYS,SB,1205.85998535,km2,1205.85998535,km2,-120.00000000,m,-1900.00000000,m,0,2022-08-04,2022-08-04,PiriGIS
45,PM9,188,BLOCK PM9 PSC,157,BLOCK PM9 PSC,MALAYSIA,PM,NULL,NULL,175.93372221,KM2,-70.00000000,m,-70.00000000,m,1,2022-08-04,2022-08-08,R&M
373,SK330,0,NULL,0,NULL,MALAYSIA,SK,NULL,NULL,7873.17140900,KM2,-30.00000000,m,-1000.00000000,m,NULL,2022-08-08,2022-08-08,R&M
6,Deepwater Block 2G & 2J PSC,176,NULL,157,NULL,MYS,SB,339.86999512,km2,339.86999512,km2,1615.00000000,m,NULL,m,1,2022-08-04,2022-08-04,UMD
337,A CLUSTER,0,NULL,0,NULL,MALAYSIA,SK,NULL,NULL,96.60603800,KM2,-60.00000000,m,-65.00000000,m,NULL,2022-08-08,2022-08-08,R&M
51,PM302,142,BLOCK PM302 PSC,158,BLOCK PM302 PSC,MALAYSIA,PM,NULL,NULL,1141.72387900,KM2,-40.00000000,m,-60.00000000,m,1,2022-08-04,2022-08-08,R&M
